Thread Profile - 2024-10-07 08:44:17.184472
Number Threads, Time (s)
1, 14.752087354660034
2, 9.36254620552063
3, 7.2031331062316895
4, 6.125006675720215
5, 5.331090211868286
6, 4.810604810714722
7, 4.35476016998291
8, 3.911583185195923
9, 3.6787092685699463
10, 3.390101671218872
11, 3.415339469909668
12, 3.440670967102051
13, 3.6406409740448
14, 3.937328815460205
15, 3.823704481124878
16, 3.6968438625335693
17, 3.474933385848999
18, 3.4757745265960693
19, 3.433042049407959
20, 3.201995372772217
21, 3.1941583156585693
22, 3.1969127655029297
23, 2.9462087154388428
24, 2.942737102508545
25, 3.176243305206299
26, 3.1815295219421387
27, 3.1727635860443115
28, 3.2077651023864746
29, 3.13378643989563
30, 3.180513858795166
31, 3.170701742172241
32, 3.144355535507202
33, 3.12874436378479
34, 2.950151205062866
35, 2.9713616371154785
36, 2.94970965385437
37, 2.9556519985198975
38, 2.9870262145996094
39, 3.042564868927002
