Number Threads, Time (s)
0, 0.004366397857666016
1, 21.212687253952026
2, 11.919026613235474
3, 9.374528884887695
4, 8.292733669281006
5, 7.333253383636475
6, 6.748414039611816
7, 6.129642963409424
8, 5.573531150817871
9, 5.273181438446045
10, 4.862579584121704
11, 5.0639488697052
12, 4.490802764892578
13, 4.948067903518677
14, 5.409233093261719
15, 5.2464377880096436
16, 5.230870485305786
17, 5.169399976730347
18, 5.189602613449097
19, 5.19160270690918
20, 4.825474500656128
21, 4.8190107345581055
22, 4.808573961257935
23, 4.530292987823486
24, 4.517878293991089
25, 4.81355619430542
26, 4.824061632156372
27, 4.832334280014038
28, 4.831766605377197
29, 4.749395370483398
30, 4.846494674682617
31, 4.777192115783691
32, 4.804823160171509
33, 4.786609411239624
34, 4.483825206756592
35, 4.505967140197754
36, 4.506822347640991
37, 4.514159917831421
38, 4.5210771560668945
39, 4.515081405639648
40, 4.614346742630005
41, 4.652142763137817
42, 4.608179330825806
43, 4.61124324798584
44, 4.616940975189209
45, 4.607931137084961
46, 4.617602109909058
47, 4.631519317626953
48, 4.653618812561035
49, 4.639034032821655
50, 4.487759113311768
51, 4.503290891647339
52, 4.509638547897339
53, 4.520828485488892
54, 4.546782732009888
55, 4.573303699493408
56, 4.545122861862183
57, 4.587944030761719
58, 4.571318864822388
59, 4.558633327484131
60, 4.585265874862671
61, 4.582303047180176
62, 4.676829814910889
63, 4.680438041687012
64, 4.624406814575195
65, 4.6407999992370605
66, 4.800056219100952
67, 4.531006336212158
68, 4.593677282333374
69, 4.5156214237213135
70, 4.505108594894409
71, 4.512427806854248
72, 4.534096002578735
73, 4.5191566944122314
74, 4.548044919967651
75, 4.825738906860352
76, 4.667561769485474
77, 4.590233564376831
78, 4.663855791091919
79, 4.875773906707764
80, 5.068042993545532
81, 5.116673707962036
82, 4.9817421436309814
83, 5.092669486999512
84, 4.965238809585571
85, 5.0389697551727295
86, 4.854284286499023
87, 4.757560968399048
88, 4.696444749832153
89, 4.671723127365112
90, 4.661034822463989
91, 4.788792848587036
92, 5.161809921264648
93, 4.760673522949219
94, 4.8202009201049805
95, 4.81099009513855
96, 4.80852484703064
97, 4.710857391357422
98, 4.707564830780029
99, 4.816730499267578
