Number Threads, Time (s)
1, 0.5312411785125732
2, 0.37651753425598145
3, 0.2720024585723877
4, 0.21708345413208008
5, 0.26079273223876953
6, 0.25371503829956055
7, 0.2083444595336914
8, 0.23644590377807617
9, 0.2835390567779541
10, 0.251556396484375
11, 0.2675285339355469
12, 0.2737152576446533
13, 0.23972010612487793
14, 0.25607848167419434
15, 0.2583951950073242
16, 0.26247739791870117
17, 0.22909855842590332
18, 0.24992728233337402
19, 0.25379323959350586
20, 0.25950002670288086
21, 0.2592461109161377
22, 0.25943994522094727
23, 0.20743322372436523
24, 0.2320256233215332
