Cube Size, Time (s)
101, 0.0012595653533935547
201, 0.0010514259338378906
301, 0.0010883808135986328
401, 0.0006067752838134766
501, 0.0010833740234375
601, 0.0006468296051025391
701, 0.0009877681732177734
801, 0.0005290508270263672
901, 0.0010890960693359375
