Number Threads, Time (s)
1, 2.676082134246826
2, 1.2542901039123535
3, 0.9091055393218994
4, 0.8052768707275391
5, 0.838843822479248
6, 0.7747411727905273
7, 0.7145731449127197
8, 0.6655426025390625
9, 0.7500767707824707
10, 0.837303876876831
11, 0.7900183200836182
12, 0.7908453941345215
13, 0.7334628105163574
14, 0.7278177738189697
15, 0.6681573390960693
16, 0.6675944328308105
17, 0.6893310546875
18, 0.6679787635803223
19, 0.701019287109375
20, 0.7028210163116455
21, 0.7009537220001221
22, 0.7059922218322754
23, 0.7021982669830322
24, 0.7049102783203125
25, 0.6472971439361572
26, 0.6502852439880371
27, 0.6364316940307617
28, 0.6482322216033936
29, 0.6395893096923828
