Number Threads, Time (s)
1, 1.7393608093261719
2, 0.9538834095001221
3, 0.8145637512207031
4, 0.7027437686920166
5, 0.7805969715118408
6, 0.7123339176177979
7, 0.6926450729370117
8, 0.6203169822692871
9, 0.6753644943237305
10, 0.7349841594696045
11, 0.715477705001831
12, 0.7219357490539551
13, 0.6747984886169434
14, 0.6769945621490479
15, 0.6231348514556885
16, 0.6304512023925781
17, 0.6222970485687256
18, 0.6315228939056396
19, 0.6522927284240723
20, 0.6573691368103027
21, 0.656994104385376
22, 0.6520838737487793
23, 0.6470210552215576
24, 0.6413209438323975
25, 0.6120185852050781
26, 0.6018335819244385
27, 0.5996253490447998
28, 0.6161010265350342
29, 0.6124591827392578
