Number Threads, Time (s)
0, 0.000995635986328125
1, 0.3143939971923828
2, 0.19619250297546387
3, 0.2097771167755127
4, 0.17892885208129883
5, 0.15296173095703125
6, 0.14584612846374512
7, 0.13068366050720215
8, 0.12963581085205078
9, 0.12177133560180664
10, 0.12061595916748047
11, 0.12396907806396484
12, 0.12708616256713867
13, 0.12064576148986816
14, 0.1280198097229004
15, 0.1275327205657959
16, 0.13585400581359863
17, 0.12893319129943848
18, 0.13498926162719727
19, 0.14136385917663574
20, 0.1453075408935547
21, 0.14965319633483887
22, 0.1551504135131836
23, 0.16077041625976562
24, 0.16491246223449707
25, 0.15521693229675293
26, 0.16286349296569824
27, 0.16728425025939941
28, 0.17330288887023926
29, 0.1799938678741455
30, 0.18203473091125488
31, 0.18886852264404297
32, 0.19435858726501465
33, 0.19815373420715332
34, 0.20297718048095703
35, 0.20871281623840332
36, 0.2202301025390625
37, 0.2191159725189209
38, 0.22939109802246094
39, 0.22973370552062988
40, 0.23421645164489746
41, 0.25049543380737305
42, 0.25043678283691406
43, 0.2562432289123535
44, 0.2611227035522461
45, 0.26079702377319336
46, 0.26771092414855957
47, 0.27584338188171387
48, 0.2753636837005615
49, 0.27414703369140625
