Time Profile - 2024-10-06 16:30:51.973575
Cube Size, Time (s)
101, 0.0013751983642578125
201, 0.0017101764678955078
301, 0.0008368492126464844
401, 0.0008943080902099609
501, 0.0007576942443847656
601, 0.0013184547424316406
701, 0.0006434917449951172
801, 0.0007114410400390625
901, 0.001031637191772461
