Number Threads, Time (s)
0, 0.004492521286010742
1, 0.5623214244842529
2, 0.3912076950073242
3, 0.2978842258453369
4, 0.2482306957244873
5, 0.2927112579345703
6, 0.27333664894104004
7, 0.22377324104309082
8, 0.22774672508239746
9, 0.3076004981994629
10, 0.2787308692932129
11, 0.29856061935424805
12, 0.2895333766937256
13, 0.2597198486328125
14, 0.25751686096191406
15, 0.25032496452331543
16, 0.2631540298461914
17, 0.20623326301574707
18, 0.2313098907470703
19, 0.23768377304077148
20, 0.23534703254699707
21, 0.23520374298095703
22, 0.22344183921813965
23, 0.21313738822937012
24, 0.23030519485473633
25, 0.220963716506958
26, 0.22410821914672852
27, 0.21666908264160156
28, 0.22442388534545898
29, 0.23106765747070312
